스모크 테스트를 통과한 63/63개 조합만 실행합니다.
[nsl-kdd] B_dd=none_ss=random_mm=cndids_af=cndids_as=lof f1=0.855 pr_auc=0.932 bwt=0.002 (6.6s)
[unsw-nb15] A_dd=none_ss=random_mm=none_af=none_as=cade_mad f1=0.918 pr_auc=0.982 bwt=0.039 (6.3s)
[unsw-nb15] A_dd=none_ss=random_mm=fifo_af=none_as=cade_mad f1=0.914 pr_auc=0.979 bwt=0.002 (7.7s)
[unsw-nb15] A_dd=none_ss=random_mm=ssf_af=none_as=cade_mad f1=0.843 pr_auc=0.980 bwt=0.039 (9.1s)
[unsw-nb15] A_dd=none_ss=ssf_mm=none_af=none_as=cade_mad f1=0.708 pr_auc=0.955 bwt=-0.004 (12.4s)
[unsw-nb15] A_dd=none_ss=ssf_mm=fifo_af=none_as=cade_mad f1=0.856 pr_auc=0.943 bwt=0.121 (14.3s)
[unsw-nb15] A_dd=none_ss=ssf_mm=ssf_af=none_as=cade_mad f1=0.523 pr_auc=0.913 bwt=-0.079 (16.4s)
[unsw-nb15] A_dd=ssf_ss=random_mm=none_af=none_as=cade_mad f1=0.918 pr_auc=0.982 bwt=0.039 (6.2s)
[unsw-nb15] A_dd=ssf_ss=random_mm=fifo_af=none_as=cade_mad f1=0.914 pr_auc=0.979 bwt=0.002 (8.5s)
[unsw-nb15] A_dd=ssf_ss=random_mm=ssf_af=none_as=cade_mad f1=0.843 pr_auc=0.980 bwt=0.039 (9.1s)
[unsw-nb15] A_dd=ssf_ss=ssf_mm=none_af=none_as=cade_mad f1=0.708 pr_auc=0.955 bwt=-0.004 (10.7s)
[unsw-nb15] A_dd=ssf_ss=ssf_mm=fifo_af=none_as=cade_mad f1=0.856 pr_auc=0.943 bwt=0.121 (10.1s)
[unsw-nb15] A_dd=ssf_ss=ssf_mm=ssf_af=none_as=cade_mad f1=0.523 pr_auc=0.913 bwt=-0.079 (10.8s)
[unsw-nb15] A_dd=cade_ss=random_mm=none_af=none_as=cade_mad f1=0.896 pr_auc=0.963 bwt=0.038 (4.5s)
[unsw-nb15] A_dd=cade_ss=random_mm=fifo_af=none_as=cade_mad f1=0.918 pr_auc=0.984 bwt=-0.002 (5.8s)
[unsw-nb15] A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad f1=0.849 pr_auc=0.981 bwt=0.035 (5.6s)
[unsw-nb15] A_dd=cade_ss=ssf_mm=none_af=none_as=cade_mad f1=0.570 pr_auc=0.950 bwt=-0.062 (7.8s)
[unsw-nb15] A_dd=cade_ss=ssf_mm=fifo_af=none_as=cade_mad f1=0.883 pr_auc=0.953 bwt=0.081 (10.9s)
[unsw-nb15] A_dd=cade_ss=ssf_mm=ssf_af=none_as=cade_mad f1=0.556 pr_auc=0.913 bwt=-0.080 (10.4s)
[unsw-nb15] A_dd=none_ss=random_mm=none_af=lwf_ssf_as=cade_mad f1=0.801 pr_auc=0.916 bwt=0.018 (4.7s)
[unsw-nb15] A_dd=none_ss=random_mm=fifo_af=lwf_ssf_as=cade_mad f1=0.923 pr_auc=0.982 bwt=0.067 (6.0s)
[unsw-nb15] A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad f1=0.833 pr_auc=0.927 bwt=0.014 (6.1s)
[unsw-nb15] A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad f1=0.754 pr_auc=0.904 bwt=0.020 (9.6s)
[unsw-nb15] A_dd=none_ss=ssf_mm=fifo_af=lwf_ssf_as=cade_mad f1=0.904 pr_auc=0.886 bwt=0.094 (14.0s)
[unsw-nb15] A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad f1=0.737 pr_auc=0.850 bwt=-0.005 (12.6s)
[unsw-nb15] A_dd=ssf_ss=random_mm=none_af=lwf_ssf_as=cade_mad f1=0.801 pr_auc=0.916 bwt=0.018 (5.7s)
[unsw-nb15] A_dd=ssf_ss=random_mm=fifo_af=lwf_ssf_as=cade_mad f1=0.923 pr_auc=0.982 bwt=0.067 (6.9s)
[unsw-nb15] A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad f1=0.833 pr_auc=0.927 bwt=0.014 (6.3s)
[unsw-nb15] A_dd=ssf_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad f1=0.754 pr_auc=0.904 bwt=0.020 (9.5s)
[unsw-nb15] A_dd=ssf_ss=ssf_mm=fifo_af=lwf_ssf_as=cade_mad f1=0.904 pr_auc=0.886 bwt=0.094 (252.0s)
[unsw-nb15] A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad f1=0.737 pr_auc=0.850 bwt=-0.005 (18.8s)
[unsw-nb15] A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=cade_mad f1=0.608 pr_auc=0.888 bwt=0.004 (4.6s)
[unsw-nb15] A_dd=cade_ss=random_mm=fifo_af=lwf_ssf_as=cade_mad f1=0.923 pr_auc=0.980 bwt=0.073 (5.4s)
[unsw-nb15] A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad f1=0.636 pr_auc=0.901 bwt=0.025 (5.0s)
[unsw-nb15] A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad f1=0.775 pr_auc=0.916 bwt=0.008 (8.6s)
[unsw-nb15] A_dd=cade_ss=ssf_mm=fifo_af=lwf_ssf_as=cade_mad f1=0.907 pr_auc=0.900 bwt=0.088 (8.2s)
[unsw-nb15] A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad f1=0.799 pr_auc=0.858 bwt=0.003 (9.0s)
[unsw-nb15] A_dd=none_ss=random_mm=none_af=gpm_as=cade_mad f1=0.900 pr_auc=0.975 bwt=0.036 (6.3s)
[unsw-nb15] A_dd=none_ss=random_mm=fifo_af=gpm_as=cade_mad f1=0.907 pr_auc=0.975 bwt=0.041 (7.8s)
[unsw-nb15] A_dd=none_ss=random_mm=ssf_af=gpm_as=cade_mad f1=0.907 pr_auc=0.975 bwt=0.041 (5.4s)
[unsw-nb15] A_dd=none_ss=ssf_mm=none_af=gpm_as=cade_mad f1=0.691 pr_auc=0.949 bwt=0.012 (8.4s)
[unsw-nb15] A_dd=none_ss=ssf_mm=fifo_af=gpm_as=cade_mad f1=0.754 pr_auc=0.952 bwt=0.028 (8.3s)
[unsw-nb15] A_dd=none_ss=ssf_mm=ssf_af=gpm_as=cade_mad f1=0.754 pr_auc=0.952 bwt=0.028 (8.2s)
[unsw-nb15] A_dd=ssf_ss=random_mm=none_af=gpm_as=cade_mad f1=0.900 pr_auc=0.975 bwt=0.036 (5.4s)
[unsw-nb15] A_dd=ssf_ss=random_mm=fifo_af=gpm_as=cade_mad f1=0.907 pr_auc=0.975 bwt=0.041 (8.5s)
[unsw-nb15] A_dd=ssf_ss=random_mm=ssf_af=gpm_as=cade_mad f1=0.907 pr_auc=0.975 bwt=0.041 (5.4s)
