# 기준선: A_dd=none_ss=random_mm=none_af=none_as=none (backbone만 BCE로 계속 학습, drift/메모리/망각방지/별도 scorer 없음). Track B 조합은 라벨 예산 없이 experience 전체를 쓰므로 학습 조건 자체가 다르다 (write_no_cl_comparison() docstring 참고)
combo_id,track,f1,bwt,f1_delta_vs_no_cl,pr_auc_delta_vs_no_cl,bwt_delta_vs_no_cl,final_f1_exp0,forgetting_exp0,no_cl_final_f1_exp0,no_cl_forgetting_exp0,final_f1_exp1,forgetting_exp1,no_cl_final_f1_exp1,no_cl_forgetting_exp1,final_f1_exp2,forgetting_exp2,no_cl_final_f1_exp2,no_cl_forgetting_exp2,final_f1_exp3,forgetting_exp3,no_cl_final_f1_exp3,no_cl_forgetting_exp3,final_f1_exp4,forgetting_exp4,no_cl_final_f1_exp4,no_cl_forgetting_exp4
A_dd=none_ss=random_mm=ssf_af=none_as=cade_mad,A,0.6029927344880575,-0.10476938249296278,-0.23182965834874825,-0.028173876440436008,0.032373569792077755,0.7221514958625078,0.24931104872726617,0.9261658340703204,0.05102656848250309,0.3854148317773472,-0.07388364085107124,0.7263243097400846,0.16574913405749725,0.673916153956217,0.07999825105422143,0.7329796640141468,0.17594207691421038,0.5379506029535048,0.16365187104143475,0.7867993713986381,0.1558540296859514,0.3345884884346423,0.0,0.8100817438692097,0.0
A_dd=ssf_ss=random_mm=ssf_af=none_as=cade_mad,A,0.5642745496760094,-0.06268528022160204,-0.2705478431607963,-0.04311564244023369,0.0744576720634385,0.6847616872736763,0.28670085731609773,0.9261658340703204,0.05102656848250309,0.35829713292788884,-0.04676594200161288,0.7263243097400846,0.16574913405749725,0.613572795524805,0.14188971919454596,0.7329796640141468,0.17594207691421038,0.5062876604663349,-0.13108351362262266,0.7867993713986381,0.1558540296859514,0.3007539041464728,0.0,0.8100817438692097,0.0
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,A,0.4562318933367479,0.012313000503928986,-0.3785904995000578,-0.21582247837108415,0.1494559527889695,0.7629983465000919,-0.012774532713162645,0.9261658340703204,0.05102656848250309,0.018097643097643095,-0.011625151188257982,0.7263243097400846,0.16574913405749725,0.0690178232840349,-0.022842356510294683,0.7329796640141468,0.17594207691421038,0.23075757575757574,-0.002009961604000632,0.7867993713986381,0.1558540296859514,0.013650841801911118,0.0,0.8100817438692097,0.0
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,0.4562318933367479,0.012313000503928986,-0.3785904995000578,-0.21582247837108415,0.1494559527889695,0.7629983465000919,-0.012774532713162645,0.9261658340703204,0.05102656848250309,0.018097643097643095,-0.011625151188257982,0.7263243097400846,0.16574913405749725,0.0690178232840349,-0.022842356510294683,0.7329796640141468,0.17594207691421038,0.23075757575757574,-0.002009961604000632,0.7867993713986381,0.1558540296859514,0.013650841801911118,0.0,0.8100817438692097,0.0
A_dd=cade_ss=random_mm=spider_af=none_as=cade_mad,A,0.4562318933367479,0.012313000503928986,-0.3785904995000578,-0.21582247837108415,0.1494559527889695,0.7629983465000919,-0.012774532713162645,0.9261658340703204,0.05102656848250309,0.018097643097643095,-0.011625151188257982,0.7263243097400846,0.16574913405749725,0.0690178232840349,-0.022842356510294683,0.7329796640141468,0.17594207691421038,0.23075757575757574,-0.002009961604000632,0.7867993713986381,0.1558540296859514,0.013650841801911118,0.0,0.8100817438692097,0.0
A_dd=cade_ss=random_mm=none_af=none_as=cade_mad,A,0.44563324600348275,-0.004127128836060078,-0.38918914683332295,-0.2236317741291769,0.13301582344898044,0.7735843400581551,-0.023360526271225868,0.9261658340703204,0.05102656848250309,0.015562649640861929,0.0007353713137364399,0.7263243097400846,0.16574913405749725,0.05530973451327434,-0.021195472285571913,0.7329796640141468,0.17594207691421038,0.1645220588235294,0.060329142587301654,0.7867993713986381,0.1558540296859514,0.010737086477074867,0.0,0.8100817438692097,0.0
A_dd=cade_ss=random_mm=none_af=gpm_as=cade_mad,A,0.44563324600348275,-0.004127128836060078,-0.38918914683332295,-0.2236317741291769,0.13301582344898044,0.7735843400581551,-0.023360526271225868,0.9261658340703204,0.05102656848250309,0.015562649640861929,0.0007353713137364399,0.7263243097400846,0.16574913405749725,0.05530973451327434,-0.021195472285571913,0.7329796640141468,0.17594207691421038,0.1645220588235294,0.060329142587301654,0.7867993713986381,0.1558540296859514,0.010737086477074867,0.0,0.8100817438692097,0.0
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=cade_mad,A,0.44563324600348275,-0.004127128836060078,-0.38918914683332295,-0.2236317741291769,0.13301582344898044,0.7735843400581551,-0.023360526271225868,0.9261658340703204,0.05102656848250309,0.015562649640861929,0.0007353713137364399,0.7263243097400846,0.16574913405749725,0.05530973451327434,-0.021195472285571913,0.7329796640141468,0.17594207691421038,0.1645220588235294,0.060329142587301654,0.7867993713986381,0.1558540296859514,0.010737086477074867,0.0,0.8100817438692097,0.0
A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad,A,0.41787245013051466,-0.04360520404320823,-0.41694994270629104,-0.23855512913106536,0.09353774824183231,0.7541953987917251,-0.003971585004795886,0.9261658340703204,0.05102656848250309,0.011795810453528574,0.004502210501069795,0.7263243097400846,0.16574913405749725,0.034901365705614563,0.019425370809713335,0.7329796640141468,0.17594207691421038,0.07575634682455998,0.15446481986684568,0.7867993713986381,0.1558540296859514,0.005908419497784342,0.0,0.8100817438692097,0.0
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A,0.41787245013051466,-0.04360520404320823,-0.41694994270629104,-0.23855512913106536,0.09353774824183231,0.7541953987917251,-0.003971585004795886,0.9261658340703204,0.05102656848250309,0.011795810453528574,0.004502210501069795,0.7263243097400846,0.16574913405749725,0.034901365705614563,0.019425370809713335,0.7329796640141468,0.17594207691421038,0.07575634682455998,0.15446481986684568,0.7867993713986381,0.1558540296859514,0.005908419497784342,0.0,0.8100817438692097,0.0
