combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc,bwt,n_drift_detected,f1_delta_vs_no_cl,bwt_delta_vs_no_cl
A_dd=cade_ss=ssf_mm=spider_af=gpm_as=cade_mad,A_dd=cade_ss=ssf_mm=spider_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,spider,gpm,cade_mad,A,0.2634229285200445,0.8193653376729048,0.1569391412763968,0.68241768269127,0.0852163594862789,0,-0.15567716330732007,0.46886485222241847
A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,ssf,gpm,cade_mad,A,0.2616147947677041,0.7557706626954579,0.15818592690719238,0.7039672605024567,-0.01597614827316536,0,-0.15748529705966047,0.3676723444629742
A_dd=cade_ss=ssf_mm=ssf_af=none_as=cade_mad,A_dd=cade_ss=ssf_mm=ssf_af=none_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,ssf,none,cade_mad,A,0.25527220816300045,0.7629945694336695,0.1532767084859347,0.7008898464456679,-0.01293911530985667,0,-0.16382788366436413,0.37070937742628285
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,ssf,lwf_ssf,cade_mad,A,0.2525410476935106,0.7705765407554672,0.15101690953011768,0.6989316083450828,-0.014090214190891306,0,-0.16655904413385397,0.36955827854524825
A_dd=none_ss=random_mm=ssf_af=gpm_as=none,A_dd=none_ss=random_mm=ssf_af=gpm_as=none__nsl-kdd,nsl-kdd,none,random,ssf,gpm,none,A,0.24861205145565335,0.9478575116159009,0.1430686511337957,0.8056170513475516,-0.3799876483556957,0,-0.17048804037171122,0.0036608443804438395
A_dd=none_ss=ssf_mm=spider_af=gpm_as=none,A_dd=none_ss=ssf_mm=spider_af=gpm_as=none__nsl-kdd,nsl-kdd,none,ssf,spider,gpm,none,A,0.23365384615384613,0.984944991314418,0.13254889737395775,0.7661782057545814,-0.1981260344978165,0,-0.18544624567351845,0.18552245823832306
A_dd=cade_ss=random_mm=ssf_af=gpm_as=none,A_dd=cade_ss=random_mm=ssf_af=gpm_as=none__nsl-kdd,nsl-kdd,cade,random,ssf,gpm,none,A,0.21408215750330156,0.990990990990991,0.12000311696407699,0.7915400736710667,-0.3843237359253089,0,-0.205017934324063,-0.0006752431891693389
A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=none,A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=none__nsl-kdd,nsl-kdd,ssf,ssf,ssf,gpm,none,A,0.20721784776902888,0.6560033236393851,0.12304215693914128,0.6492803368664795,-0.277520159114555,4,-0.2118822440583357,0.10612833362158453
A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,spider,lwf_ssf,cade_mad,A,0.2002186688533552,0.8134369794558579,0.1141588093197226,0.6831161530618967,0.07331312201762857,0,-0.21888142297400937,0.4569616147537681
A_dd=ssf_ss=ssf_mm=spider_af=none_as=none,A_dd=ssf_ss=ssf_mm=spider_af=none_as=none__nsl-kdd,nsl-kdd,ssf,ssf,spider,none,none,A,0.19392245895913376,0.9365721997300944,0.10815865347151873,0.7579518751187349,-0.3494479022449949,4,-0.2251776328682308,0.034200590491144656
A_dd=cade_ss=ssf_mm=spider_af=none_as=cade_mad,A_dd=cade_ss=ssf_mm=spider_af=none_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,spider,none,cade_mad,A,0.1905285586638257,0.8076923076923077,0.1080028052676693,0.6809394729660153,0.04458502415646,0,-0.22857153316353887,0.42823351689259953
A_dd=cade_ss=random_mm=spider_af=gpm_as=none,A_dd=cade_ss=random_mm=spider_af=gpm_as=none__nsl-kdd,nsl-kdd,cade,random,spider,gpm,none,A,0.15755143000501756,0.983005366726297,0.08563858801527312,0.7658891655433879,-0.34852815523576364,0,-0.26154866182234704,0.03512033750037591
A_dd=cade_ss=ssf_mm=none_af=none_as=cade_mad,A_dd=cade_ss=ssf_mm=none_af=none_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,none,none,cade_mad,A,0.15647226173541962,0.8964955175224124,0.08571651211719784,0.8442492036373535,-0.024415271975285,0,-0.26262783009194496,0.35923322076085457
A_dd=cade_ss=ssf_mm=none_af=gpm_as=cade_mad,A_dd=cade_ss=ssf_mm=none_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,none,gpm,cade_mad,A,0.15647226173541962,0.8964955175224124,0.08571651211719784,0.8442492036373535,-0.024415271975285,0,-0.26262783009194496,0.35923322076085457
A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,none,lwf_ssf,cade_mad,A,0.15647226173541962,0.8964955175224124,0.08571651211719784,0.8442492036373535,-0.024415271975285,0,-0.26262783009194496,0.35923322076085457
A_dd=none_ss=ssf_mm=ssf_af=none_as=cade_mad,A_dd=none_ss=ssf_mm=ssf_af=none_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,ssf,none,cade_mad,A,0.14377498572244435,0.8570212765957447,0.0784695706381984,0.7499745780911697,-0.34714395159797046,0,-0.2753251061049202,0.03650454113816909
