combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc
A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,ssf,gpm,cade_mad,A,0.7798057237443916,0.8841367048597393,0.6974986363282163,0.917852399855561
A_dd=cade_ss=random_mm=ssf_af=none_as=none,A_dd=cade_ss=random_mm=ssf_af=none_as=none__nsl-kdd,nsl-kdd,cade,random,ssf,none,none,A,0.7784269662921349,0.9196134650100881,0.6748227226681213,0.9136401326270888
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,none,lwf_ssf,cade_mad,A,0.7775836245631552,0.8341515665446755,0.7282007324865581,0.9074863804511086
A_dd=none_ss=random_mm=ssf_af=none_as=cade_mad,A_dd=none_ss=random_mm=ssf_af=none_as=cade_mad__unsw-nb15,unsw-nb15,none,random,ssf,none,cade_mad,A,0.7775561366148206,0.9994109902293673,0.6363054795729286,0.9688084165134916
A_dd=none_ss=random_mm=spider_af=none_as=none,A_dd=none_ss=random_mm=spider_af=none_as=none__nsl-kdd,nsl-kdd,none,random,spider,none,none,A,0.7762783770366024,0.9223509223509223,0.6701472765526377,0.8963104276264097
A_dd=cade_ss=ssf_mm=none_af=gpm_as=cade_mad,A_dd=cade_ss=ssf_mm=none_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,none,gpm,cade_mad,A,0.7747999825121322,0.8825697211155379,0.690485467154991,0.9192824199673695
A_dd=none_ss=ssf_mm=spider_af=gpm_as=cade_mad,A_dd=none_ss=ssf_mm=spider_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,spider,gpm,cade_mad,A,0.7735246511220962,0.8818073010173548,0.6889269851164965,0.9180707332251775
A_dd=none_ss=ssf_mm=none_af=gpm_as=cade_mad,A_dd=none_ss=ssf_mm=none_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,none,gpm,cade_mad,A,0.7727471757596988,0.8819590204897552,0.6876022753837762,0.91787865342464
A_dd=none_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A_dd=none_ss=ssf_mm=ssf_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,ssf,gpm,cade_mad,A,0.7721696459866807,0.8819937944149735,0.6866671861606795,0.9184665683913555
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,ssf,lwf_ssf,cade_mad,A,0.7655553574612229,0.8943038633760283,0.669212187329541,0.9144852522144793
A_dd=cade_ss=random_mm=none_af=gpm_as=cade_mad,A_dd=cade_ss=random_mm=none_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,none,gpm,cade_mad,A,0.7647283369385417,0.8390729709605361,0.7024857788513987,0.9020733355156135
A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,spider,lwf_ssf,cade_mad,A,0.7610500336549249,0.8971646212441812,0.6607963843216706,0.9149606682200451
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,ssf,ssf,spider,lwf_ssf,cade_mad,A,0.7583940948780268,0.8977091102823654,0.6565105587158108,0.9174626676032347
