combo_id,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms,normal_fpr
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=none,0.8862629246676514,0.9365351629502573,0.8667155783810222,0.6596298957959037,0.3878258000659848,0.9908324943034286,0.5037185354691075,0.49206349206349204,0.75,0.09208108108108108
A_dd=none_ss=random_mm=none_af=none_as=none,0.9955686853766618,0.9948542024013722,0.9217412570310589,0.8056054617319439,0.9808644011877268,0.9909384770282444,0.9891304347826086,0.9947089947089947,1.0,0.37856756756756754
A_dd=cade_ss=random_mm=ssf_af=none_as=none,0.9970457902511078,0.9982847341337907,0.9633162142333089,0.8277039166367229,0.941108545034642,0.9964495787186689,0.995137299771167,0.9894179894179894,0.9772727272727273,0.3951891891891892
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,0.7666174298375185,0.8404802744425386,0.7747615553925165,0.6320517427236795,0.35466842626195977,0.9908854856658365,0.4762585812356979,0.4973544973544973,0.3181818181818182,0.072
A_dd=cade_ss=random_mm=none_af=gpm_as=none,0.9423929098966026,0.9588336192109777,0.937882122768403,0.7700323392022996,0.9594193335532828,0.9992051295638811,0.9948512585812357,1.0,1.0,0.40118918918918917
A_dd=cade_ss=random_mm=none_af=none_as=none,0.9970457902511078,0.9879931389365352,0.9354365370506236,0.7470355731225297,0.9529858132629495,0.9963965873562609,0.9979977116704806,0.9920634920634921,1.0,0.3918378378378378
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,0.793205317577548,0.8164665523156089,0.8410369283443385,0.5690801293568092,0.22187396898713296,0.986858142122834,0.6824942791762014,0.5185185185185185,0.6136363636363636,0.06562162162162162
A_dd=none_ss=random_mm=none_af=gpm_as=none,0.8714918759231906,0.9090909090909091,0.8493519197847884,0.7473948975925261,0.8589574397888485,0.989083779343967,0.8890160183066361,0.9867724867724867,0.9318181818181818,0.335
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,0.7503692762186115,0.7615780445969125,0.8119344583027636,0.5402443406395976,0.2047179148795777,0.9863812198611627,0.6261441647597255,0.4074074074074074,0.5909090909090909,0.06205405405405406
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,0.8183161004431314,0.823327615780446,0.7380777696258254,0.41573841178584264,0.2259980204552953,0.9828307985798315,0.2625858123569794,0.16137566137566137,0.3181818181818182,0.042945945945945946
A_dd=none_ss=random_mm=none_af=lwf_ssf_as=cade_mad,0.8611521418020679,0.8730703259005146,0.7290291024700416,0.31683435141933164,0.2350709336852524,0.9794393513857241,0.23483981693363845,0.15343915343915343,0.29545454545454547,0.028945945945945947
A_dd=ssf_ss=random_mm=ssf_af=gpm_as=cade_mad,0.6115214180206795,0.6020583190394511,0.5994130594277329,0.4588573481854114,0.1679313757835698,0.9746171374066027,0.1198512585812357,0.03439153439153439,0.5,0.03813513513513513
A_dd=none_ss=random_mm=spider_af=gpm_as=cade_mad,0.8478581979320532,0.8370497427101201,0.723404255319149,0.36722960833632773,0.25783569778950843,0.9774256796142229,0.16304347826086957,0.12433862433862433,0.25,0.06386486486486487
A_dd=none_ss=random_mm=ssf_af=gpm_as=cade_mad,0.5598227474150664,0.5900514579759862,0.5764245536806065,0.38995688106360044,0.2890135268888156,0.9404907000158974,0.23140732265446223,0.1931216931216931,0.36363636363636365,0.073
A_dd=none_ss=random_mm=none_af=gpm_as=cade_mad,0.6646971935007385,0.6758147512864494,0.6216678894595256,0.3345310815666547,0.18063345430550973,0.9739812410577076,0.0975400457665904,0.0026455026455026454,0.36363636363636365,0.039972972972972975
A_dd=none_ss=random_mm=none_af=none_as=cade_mad,0.912850812407681,0.9159519725557461,0.7260943996087063,0.33156665468918434,0.255691191026064,0.830374648932224,0.09582379862700229,0.0026455026455026454,0.09090909090909091,0.06386486486486487
A_dd=none_ss=random_mm=spider_af=none_as=cade_mad,0.7267355982274741,0.8319039451114922,0.504035216434336,0.3139597556593604,0.1862421643022105,0.835567802448201,0.06292906178489703,0.0,0.1590909090909091,0.039729729729729726
A_dd=none_ss=random_mm=ssf_af=none_as=cade_mad,0.7149187592319055,0.8130360205831904,0.5754463193934948,0.37387711103126126,0.20521280105575718,0.5755391871125006,0.17734553775743708,0.005291005291005291,0.20454545454545456,0.04021621621621622
A_dd=ssf_ss=random_mm=ssf_af=none_as=cade_mad,0.6292466765140325,0.7392795883361921,0.5096600635852286,0.3463887890765361,0.18426261959749257,0.5335700280854221,0.17162471395881007,0.0,0.20454545454545456,0.053324324324324324
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,0.03545051698670606,0.018867924528301886,0.04426510149180729,0.13681279195113188,0.0074232926426921805,0.6589475915425785,0.009153318077803204,0.0026455026455026454,0.0,0.07818918918918918
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,0.03545051698670606,0.018867924528301886,0.04426510149180729,0.13681279195113188,0.0074232926426921805,0.6589475915425785,0.009153318077803204,0.0026455026455026454,0.0,0.07818918918918918
A_dd=cade_ss=random_mm=spider_af=none_as=cade_mad,0.03545051698670606,0.018867924528301886,0.04426510149180729,0.13681279195113188,0.0074232926426921805,0.6589475915425785,0.009153318077803204,0.0026455026455026454,0.0,0.07818918918918918
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=cade_mad,0.005908419497784343,0.0137221269296741,0.036683785766691124,0.09647862019403522,0.006103596172880237,0.6835355836998569,0.008867276887871853,0.0,0.0,0.11372972972972974
A_dd=cade_ss=random_mm=none_af=gpm_as=cade_mad,0.005908419497784343,0.0137221269296741,0.036683785766691124,0.09647862019403522,0.006103596172880237,0.6835355836998569,0.008867276887871853,0.0,0.0,0.11372972972972974
A_dd=cade_ss=random_mm=none_af=none_as=cade_mad,0.005908419497784343,0.0137221269296741,0.036683785766691124,0.09647862019403522,0.006103596172880237,0.6835355836998569,0.008867276887871853,0.0,0.0,0.11372972972972974
A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad,0.0029542097488921715,0.0,0.022499388603570557,0.04195113187208049,0.003299241174529858,0.6548142652747602,0.008295194508009153,0.0,0.0,0.10170270270270271
A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad,0.0029542097488921715,0.0,0.022499388603570557,0.04195113187208049,0.003299241174529858,0.6548142652747602,0.008295194508009153,0.0,0.0,0.10170270270270271
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,0.0029542097488921715,0.0,0.022499388603570557,0.04195113187208049,0.003299241174529858,0.6548142652747602,0.008295194508009153,0.0,0.0,0.10170270270270271
