# 기준선: A_dd=none_ss=random_mm=none_af=none_as=none (backbone만 BCE로 계속 학습, drift/메모리/망각방지/별도 scorer 없음). Track B 조합은 라벨 예산 없이 experience 전체를 쓰므로 학습 조건 자체가 다르다 (write_no_cl_comparison() docstring 참고)
combo_id,track,f1,bwt,f1_delta_vs_no_cl,pr_auc_delta_vs_no_cl,bwt_delta_vs_no_cl,final_f1_exp0,forgetting_exp0,no_cl_final_f1_exp0,no_cl_forgetting_exp0,final_f1_exp1,forgetting_exp1,no_cl_final_f1_exp1,no_cl_forgetting_exp1,final_f1_exp2,forgetting_exp2,no_cl_final_f1_exp2,no_cl_forgetting_exp2,final_f1_exp3,forgetting_exp3,no_cl_final_f1_exp3,no_cl_forgetting_exp3,final_f1_exp4,forgetting_exp4,no_cl_final_f1_exp4,no_cl_forgetting_exp4
A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A,0.6618880173113336,0.04812202996953107,0.24278792548396905,-0.23142706618219622,0.4317705227056706,0.8739808324989272,-0.05308531011086748,0.5963793265172123,0.33833835233359144,0.600747198007472,-0.13954133684965314,0.17528089887640452,0.6884666005679164,0.0038034865293185426,0.001568044356984054,0.005765765765765766,0.3215831271127501,0.060897435897435896,-0.001429517274587698,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=none_ss=ssf_mm=none_af=gpm_as=cade_mad,A,0.6605667060212513,-0.04560658279351954,0.24146661419388676,-0.0931780380899313,0.33804190994262,0.8038307559463066,-0.0022158318198971516,0.5963793265172123,0.33833835233359144,0.6423087106168918,0.12866121929493268,0.17528089887640452,0.6884666005679164,0.22147445702049556,-0.1787298001026103,0.005765765765765766,0.3215831271127501,0.1,0.23471074380165294,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A,0.6583768391077361,0.05083024663220042,0.23927674728037157,-0.22815925658999714,0.43447873936834,0.8051063829787234,0.03002597374191396,0.5963793265172123,0.33833835233359144,0.5895127118644067,-0.10600446598734525,0.17528089887640452,0.6884666005679164,0.3352633030052385,-0.08239436803443112,0.005765765765765766,0.3215831271127501,0.04938271604938272,-0.04494812624893926,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=none,A,0.651368460249488,0.023996787418625876,0.23226836842212345,-0.23005528357246574,0.4076452801547654,0.8750811864039836,-0.05418566401592384,0.5963793265172123,0.33833835233359144,0.49917627677100496,-0.04226531950196699,0.17528089887640452,0.6884666005679164,0.005169628432956381,-0.0007691883889519796,0.005765765765765766,0.3215831271127501,0.06159420289855073,0.0012330222323393217,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=none,A,0.6258370535714285,0.015195736876824923,0.20673696174406392,-0.2433061803230775,0.39884422961296445,0.8536620951269333,-0.03276657273887351,0.5963793265172123,0.33833835233359144,0.4674329501915709,-0.025911108951552075,0.17528089887640452,0.6884666005679164,0.004452926208651399,-4.035036750413019e-05,0.005765765765765766,0.3215831271127501,0.05629139072847683,-0.0020649154493699723,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=none,A,0.6070597554334374,0.010364063832364982,0.1879596636060728,-0.2428812522384013,0.39401255656850454,0.8035686578743213,-0.007230671982080605,0.5963793265172123,0.33833835233359144,0.5199219838395095,-0.03836763066685828,0.17528089887640452,0.6884666005679164,0.0013306719893546241,0.001023654084806647,0.005765765765765766,0.3215831271127501,0.07188160676532769,0.0031183932346723064,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=none_ss=random_mm=none_af=none_as=cade_mad,A,0.6064224786753637,-0.16218876345908925,0.18732238684799912,-0.13354310733244223,0.2214597292770503,0.7412874128741287,0.1874469086766124,0.5963793265172123,0.33833835233359144,0.541038525963149,0.36877028534192147,0.17528089887640452,0.6884666005679164,0.29873853211009177,0.059939153840321446,0.005765765765765766,0.3215831271127501,0.1422413793103448,0.03259870597750167,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad,A,0.5975639824448937,0.17096393323151302,0.17846389061752915,-0.1568751177392108,0.5546124259676526,0.6061261261261262,-0.17541066559981044,0.5963793265172123,0.33833835233359144,0.6916524701873935,-0.6419729830079063,0.17528089887640452,0.6884666005679164,0.544361625390719,0.1081918447096738,0.005765765765765766,0.3215831271127501,0.4565916398713826,0.025336070971990865,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A,0.5975639824448937,0.17096393323151302,0.17846389061752915,-0.1568751177392108,0.5546124259676526,0.6061261261261262,-0.17541066559981044,0.5963793265172123,0.33833835233359144,0.6916524701873935,-0.6419729830079063,0.17528089887640452,0.6884666005679164,0.544361625390719,0.1081918447096738,0.005765765765765766,0.3215831271127501,0.4565916398713826,0.025336070971990865,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad,A,0.5975639824448937,0.17096393323151302,0.17846389061752915,-0.1568751177392108,0.5546124259676526,0.6061261261261262,-0.17541066559981044,0.5963793265172123,0.33833835233359144,0.6916524701873935,-0.6419729830079063,0.17528089887640452,0.6884666005679164,0.544361625390719,0.1081918447096738,0.005765765765765766,0.3215831271127501,0.4565916398713826,0.025336070971990865,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
