exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,f1,precision,recall,fpr,balanced_accuracy,bwt,fwt,label_efficiency,avg_inference_ms
dummy__dr=ssf__sl=rand__mm=fifo__af=gpm__sc=pca,dummy,ssf,random,fifo,gpm,pca,0.6278,0.5408,0.5824,0.6,0.4912,0.0206,0.0571,0.6988,0.9
dummy__dr=ssf__sl=rand__mm=fifo__af=gpm__sc=mad,dummy,ssf,random,fifo,gpm,cade_mad,0.0805,0.375,0.033,0.0667,0.4832,0.0005,-0.4354,0.6988,0.33
dummy__dr=ssf__sl=rand__mm=fifo__af=lwf__sc=pca,dummy,ssf,random,fifo,lwf_ssf,pca,0.62,0.5842,0.6484,0.56,0.5442,-0.0035,0.1091,0.6988,1.05
dummy__dr=ssf__sl=rand__mm=fifo__af=lwf__sc=mad,dummy,ssf,random,fifo,lwf_ssf,cade_mad,0.2196,0.5667,0.1868,0.1733,0.5067,0.0,-0.2495,0.6988,0.29
dummy__dr=ssf__sl=rand__mm=ssf__af=none__sc=pca,dummy,ssf,random,ssf,none,pca,0.5917,0.5204,0.5604,0.6267,0.4669,-0.0089,0.0507,0.6988,1.06
dummy__dr=ssf__sl=rand__mm=ssf__af=none__sc=mad,dummy,ssf,random,ssf,none,cade_mad,0.1345,0.5455,0.0659,0.0667,0.4996,-0.0096,-0.3959,0.6988,0.29
dummy__dr=ssf__sl=rand__mm=ssf__af=cnd__sc=pca,dummy,ssf,random,ssf,cndids,pca,0.627,0.57,0.6264,0.5733,0.5265,-0.0064,0.1004,0.6988,0.99
dummy__dr=ssf__sl=rand__mm=ssf__af=cnd__sc=mad,dummy,ssf,random,ssf,cndids,cade_mad,0.1569,0.4286,0.0989,0.16,0.4695,0.0091,-0.3215,0.6988,0.34
dummy__dr=ssf__sl=rand__mm=ssf__af=gpm__sc=pca,dummy,ssf,random,ssf,gpm,pca,0.586,0.4902,0.5495,0.6933,0.4281,0.002,-0.014,0.6988,0.9
dummy__dr=ssf__sl=rand__mm=ssf__af=gpm__sc=mad,dummy,ssf,random,ssf,gpm,cade_mad,0.1687,0.4348,0.1099,0.1733,0.4683,-0.0125,-0.3133,0.6988,0.31
dummy__dr=ssf__sl=rand__mm=ssf__af=lwf__sc=pca,dummy,ssf,random,ssf,lwf_ssf,pca,0.5748,0.5435,0.5495,0.56,0.4947,0.0141,0.0373,0.6988,0.82
dummy__dr=ssf__sl=rand__mm=ssf__af=lwf__sc=mad,dummy,ssf,random,ssf,lwf_ssf,cade_mad,0.0884,0.5,0.033,0.04,0.4965,-0.0001,-0.4347,0.6988,0.28
dummy__dr=ssf__sl=rand__mm=cnd__af=none__sc=pca,dummy,ssf,random,cndids,none,pca,0.7737,0.9405,0.9518,0.0602,,,,,
dummy__dr=ssf__sl=rand__mm=cnd__af=none__sc=mad,dummy,ssf,random,cndids,none,cade_mad,0.2013,0.1667,0.012,0.0602,,,,,
dummy__dr=ssf__sl=rand__mm=cnd__af=cnd__sc=pca,dummy,ssf,random,cndids,cndids,pca,0.7773,0.9425,0.988,0.0602,,,,,
dummy__dr=ssf__sl=rand__mm=cnd__af=cnd__sc=mad,dummy,ssf,random,cndids,cndids,cade_mad,0.2433,0.6154,0.0964,0.0602,,,,,
dummy__dr=ssf__sl=rand__mm=cnd__af=gpm__sc=pca,dummy,ssf,random,cndids,gpm,pca,0.7756,0.9405,0.9518,0.0602,,,,,
dummy__dr=ssf__sl=rand__mm=cnd__af=gpm__sc=mad,dummy,ssf,random,cndids,gpm,cade_mad,0.1899,0.375,0.0361,0.0602,,,,,
dummy__dr=ssf__sl=rand__mm=cnd__af=lwf__sc=pca,dummy,ssf,random,cndids,lwf_ssf,pca,0.789,0.9425,0.988,0.0602,,,,,
